orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,key_resp.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,12.670087957999954,13.647394167000016,13.664874291999922,14.136280917000022,14.160329457999978,14.448397457999931,14.455410958000016,up,1,0.4996043329999793,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,0,1,1,1,15.015759000000003,15.980360082999937,16.01452954199999,16.469224332999943,16.481776874999923,16.781871749999937,16.77060849999998,up,0,0.30178075000003446,None,-5,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,1,0,2,1,17.102534874999947,18.09063674999993,18.097037916999966,18.587719666999988,18.587719666999988,18.887033499999916,18.882003624999925,up,1,0.47718266700007916,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,1,1,3,0,19.37896183299995,20.364712166999993,20.371063542,20.853460917000007,20.86531762499999,21.165378707999935,21.15360883300002,up,1,0.38879124899995077,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,2,0,4,0,21.569064124999954,22.557353124999963,22.564905167000006,23.05490983300001,23.05490983300001,23.354271749999953,23.348776374999943,up,1,0.46330570800000714,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,2,1,5,1,23.835591582999996,24.823257541999965,24.831545457999937,25.32132066700001,25.32132066700001,25.620511833000023,25.615613457999984,up,1,0.36917062500003794,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,3,0,6,0,26.013043583000012,26.99834579200001,27.00428070800001,27.486411541999928,27.498953791999952,27.799064332999933,27.786966042000017,down,1,0.3623259580000422,None,4,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,3,1,7,1,28.18081266699994,29.165073042000017,29.171498999999926,29.65418458299996,29.665689666999924,29.965810583000007,29.954009541999994,down,1,0.5719380410000667,None,1,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,4,0,8,1,30.552216250000015,31.540540541999917,31.548541417000024,32.03805612499991,32.03805612499991,32.33759054199993,32.332504374999985,down,1,0.48033445800001573,None,3,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,4,1,9,0,32.83601841699999,33.82349979200001,33.83196395799996,34.315814124999974,34.322109207999915,34.621296667000024,34.61590608299991,up,1,0.4986942909999925,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,5,0,10,1,35.136360707999984,36.12445641699992,36.13218162499993,36.62190204199999,36.62190204199999,36.92185729199991,36.91593954199993,up,1,0.2990611660000013,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,5,1,11,0,37.23623774999999,38.224013042000024,38.232187291999935,38.72241812499999,38.72241812499999,39.02165500000001,39.016202791999945,down,1,0.2543095830000084,None,-5,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,6,0,12,1,39.29816679199996,40.282137374999934,40.28840741699992,40.77065579199996,40.78281266699992,41.08295874999999,41.072700582999914,up,0,0.38758516600000803,None,1,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,6,1,13,0,41.48553187499999,42.474924708,42.482534042,42.97141899999997,42.97141899999997,43.27122737499997,43.26629758299998,down,1,0.1504461250000304,None,-5,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,7,0,14,0,43.435787000000005,44.42437795799992,44.43250895799997,44.92239633299994,44.92239633299994,45.22290624999994,45.21645279199993,up,1,0.639392166999869,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,7,1,15,1,45.881423957999914,46.86580229200001,46.872146749999956,47.354604249999966,47.36652608299994,47.66639691699993,47.65508170800001,down,1,0.5669823329999417,None,3,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,8,0,16,1,48.24809862500001,49.23253875,49.23852866699997,49.72062395799992,49.73320545799993,50.03338199999996,50.02153649999991,up,1,0.11195583300002454,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,8,1,17,0,50.164379749999966,51.149282374999984,51.15559533299995,51.63773325,51.64999629199997,51.95005508299994,51.938841457999956,up,0,0.26294787500000893,None,1,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,9,0,18,0,52.23207712499993,53.21613512499994,53.22255904199994,53.70422199999996,53.716635166999936,54.01688191699998,54.00559791699993,down,1,0.34516974899997876,None,-5,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,9,1,19,1,54.382043332999956,55.36626554199995,55.37267662499994,55.85446966699999,55.866768417,56.166914874999975,56.15566795799998,down,1,0.4192681669999274,None,2,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,10,0,20,0,56.60279566700001,57.59197874999995,57.59964095800001,58.089364208000006,58.089364208000006,58.38962824999999,58.38352558299994,up,1,0.21790450000003148,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,10,1,21,1,58.63138591699999,59.616453916999944,59.62260241699994,60.104399167,60.11697866700001,60.417071082999996,60.40663295799993,up,0,0.3693611249999549,None,3,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,11,0,22,1,60.80370745799996,61.79200295800001,61.79992170799994,62.29013820799992,62.29013820799992,62.58959270799994,62.583847375000005,down,0,0.2897947080000449,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,11,1,23,0,62.89801308300002,63.88320937499998,63.88968720799994,64.37179816699995,64.38383112499992,64.68395762499995,64.67251933299997,down,1,0.6413838329999635,None,-2,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,12,0,24,0,65.34886904199993,66.33335929199995,66.33930737499998,66.82174204199998,66.83401433299991,67.48820091699997,67.48820091699997,down,1,0.2289355829999522,None,4,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
45,12,1,25,1,67.73314820799999,68.71673437499999,68.72283816699996,69.20550649999996,69.21733262499993,69.51741891699999,69.50563075000002,down,1,0.6794049160000668,None,3,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
0,13,0,26,0,70.21652166699994,71.20014891699998,71.20643999999993,71.68915520799999,71.70077687499997,72.00082991699992,71.98885587500001,up,1,0.2503524579999521,None,0,1,001,2023-11-27_10h58.50.073,Final_Project,2023.1.3,None,
