orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,grating.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,14.786167899999782,15.768814400000338,15.785410799999227,16.268651200000022,16.268651200000022,16.569007099999,16.569007099999,up,1,3.200455199999851,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,0,1,1,1,19.801815999999235,20.80197170000065,20.80197170000065,21.301740599999903,21.301740599999903,21.602425299999595,21.602425299999595,down,1,0.694684199999756,None,-4,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,1,0,2,1,22.318093599998974,23.31804170000032,23.31804170000032,23.81821879999916,23.81821879999916,24.117738999999347,24.117738999999347,down,1,0.09843430000182707,None,1,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,1,1,3,0,24.23484339999959,25.235513800000263,25.235513800000263,25.751051699999152,25.73519540000052,26.051650100000188,26.03480639999907,up,0,3.0129297000003135,None,-3,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,2,0,4,1,29.068095900000117,30.067526000000726,30.084670500000357,30.567288399999597,30.567288399999597,30.86780539999927,30.86780539999927,up,1,1.55704440000045,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,2,1,5,0,32.45060310000008,33.45089879999978,33.45089879999978,33.950079399999595,33.950079399999595,34.2504327000006,34.2504327000006,up,0,0.3691961000004085,None,1,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,3,0,6,0,34.65054400000008,35.65013870000075,35.65013870000075,36.1508376999991,36.1508376999991,36.466855399999986,36.45069159999912,up,1,0.11279149999973015,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,3,1,7,1,36.5832960000007,37.58313420000013,37.58313420000013,38.083779999999024,38.083779999999024,38.383447300000626,38.383447300000626,up,1,0.3609807000011642,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,4,0,8,1,38.76636890000009,39.7662294999991,39.7662294999991,40.26648530000057,40.26648530000057,40.56659360000049,40.56659360000049,up,1,0.2877496000000974,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,4,1,9,0,40.88360760000069,41.88248030000068,41.88248030000068,42.38311959999919,42.38311959999919,42.68291060000047,42.68291060000047,down,0,0.4369944999998552,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,5,0,10,1,43.14910989999953,44.14962749999904,44.14962749999904,44.649630899999465,44.649630899999465,44.94923580000068,44.94923580000068,up,1,0.05908869999984745,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,5,1,11,0,45.03265979999924,46.03234849999899,46.03234849999899,46.53270309999971,46.53270309999971,46.83312950000072,46.83312950000072,up,0,0.011390400000891532,None,4,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,6,0,12,0,46.86542329999975,47.866930899999716,47.866930899999716,48.365859999999884,48.365859999999884,48.66563099999985,48.66563099999985,up,1,0.1508503999993991,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,6,1,13,1,48.832677200000035,49.83300609999969,49.83300609999969,50.33217759999934,50.33217759999934,50.632213999999294,50.632213999999294,up,1,0.17329270000118413,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,7,0,14,0,50.831978599999275,51.832539999999426,51.832539999999426,52.332315699999526,52.332315699999526,52.63245289999941,52.63245289999941,up,0,0.23271910000039497,None,2,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,7,1,15,1,52.882236499999635,53.88264589999926,53.88264589999926,54.38173379999898,54.38173379999898,54.681705499999225,54.681705499999225,down,1,0.5082937000006496,None,-4,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
0,8,0,16,0,55.21460499999921,56.21554979999928,56.21554979999928,56.715145699999994,56.715145699999994,57.01484469999923,57.01484469999923,up,1,0.13660039999922446,None,0,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,8,1,17,1,57.18128830000023,58.18129450000015,58.18129450000015,58.681136699999115,58.681136699999115,58.98146599999927,58.98146599999927,up,0,0.25659970000015164,None,-2,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
45,9,0,18,1,59.26442490000045,60.264320500000395,60.264320500000395,60.765141899999435,60.765141899999435,61.064545299999736,61.064545299999736,up,0,0.16299740000067686,None,-4,archi,001,2023-11-28_01h13.58.827,Final_Project,2023.1.3,60.576726784395206,
